bgold;rgold;mblue;mred;bResult
0.281393394;0.270525186;0.50076997;0.518527353;1
0.288221606;0.293280813;0.496310883;0.51076837;0
0.28635865;0.273962033;0.508775452;0.508816201;1
0.276198759;0.286671752;0.515803801;0.492838916;0
0.330070255;0.292624688;0.490243599;0.498425418;1
0.34343886;0.375469212;0.527513565;0.499118172;0
0.290357295;0.276259544;0.487207619;0.461470932;1
0.296715979;0.265006911;0.494703217;0.504054433;1
0.256893072;0.291882677;0.496076105;0.559238063;0
0.35032097;0.306461276;0.494523684;0.50587088;1
0.246477833;0.237909318;0.510305621;0.472049333;1
0.261963242;0.260389018;0.519448272;0.49724244;1
0.314952386;0.281704383;0.533937793;0.500071388;1
0.30884472;0.326357479;0.478598576;0.49709105;0
0.312271154;0.301739057;0.523693634;0.49836688;1
0.284984418;0.281777789;0.555432867;0.498236027;1
0.267126551;0.30173406;0.492578179;0.542986017;0
0.296100043;0.269787787;0.477224922;0.502203525;1
0.287142551;0.289879262;0.48317142;0.49595139;1
0.27441651;0.29453815;0.519225759;0.516565264;0
0.242744965;0.275251432;0.508384923;0.499660171;0
0.315983751;0.29052553;0.53160385;0.501676958;1
0.279851348;0.309281782;0.523986933;0.499802611;0
0.279181374;0.260310875;0.473744767;0.514528612;1
0.30844737;0.332886757;0.520239644;0.533469543;0
0.335236835;0.311871367;0.523929638;0.489068164;1
0.313198727;0.288630988;0.495643413;0.526543331;1
0.265403866;0.283200379;0.517704805;0.518874594;0
0.346733903;0.307735514;0.506646837;0.50629825;1
0.340122716;0.304186863;0.523225679;0.503375089;1
0.251941453;0.272589582;0.514623778;0.520012939;0
0.290150154;0.272987063;0.529029752;0.495986067;1
0.325627841;0.379548257;0.512916226;0.558162459;0
0.293776177;0.297884148;0.518020119;0.494129017;0
0.271841443;0.279975841;0.475932851;0.557886434;0
0.318324102;0.274124786;0.486299318;0.531542774;1
0.297048159;0.273544081;0.52909495;0.481826491;1
0.259928251;0.277870558;0.518647901;0.514932855;0
0.278171678;0.253490155;0.551318;0.500546881;1
0.301382493;0.265796436;0.492405048;0.536472026;1
0.273569331;0.301549305;0.491684783;0.52332872;0
0.239964726;0.260410648;0.492699315;0.531010507;0
0.315127046;0.284504487;0.513993443;0.443943307;1
0.296669128;0.304633769;0.511714049;0.498856811;0
0.366486825;0.350351517;0.526566501;0.52711615;1
0.277645052;0.266843926;0.518361614;0.519371535;1
0.236232304;0.252051016;0.501105833;0.50628471;1
0.251905255;0.278243716;0.490928643;0.505161758;0
0.293179896;0.322722705;0.484291297;0.513463665;1
0.334574272;0.31448324;0.497905247;0.506847238;0
0.287882631;0.32211845;0.483177607;0.51828071;1
0.248037715;0.266899403;0.507340415;0.505041937;1
0.361854781;0.314622428;0.501246069;0.515803801;0
0.334583813;0.298202587;0.52817816;0.525956135;1
0.361197477;0.324008215;0.443480307;0.494260531;0
0.319849984;0.299605467;0.511414731;0.464347848;1
0.351502717;0.314436659;0.498113751;0.499483805;1
0.291306394;0.262530076;0.50657451;0.520185521;0
0.235766476;0.247304956;0.495188867;0.50151477;1
0.24095747;0.24700932;0.48824492;0.488608774;1
0.296176558;0.312252969;0.515838817;0.493232271;1
0.267476314;0.263794371;0.515014946;0.498578665;1
0.295558252;0.284856454;0.479845945;0.503691476;1
0.267798252;0.27056531;0.547892676;0.516390884;1
0.268686182;0.254024961;0.502331369;0.500977456;1
0.313069013;0.284638414;0.532078585;0.491895407;1
0.318547812;0.361652195;0.483765748;0.488122667;0
0.291237638;0.25881765;0.481004099;0.535548266;0
0.333418284;0.307527538;0.48355182;0.533702024;0
0.31645517;0.331883644;0.48071281;0.530617468;1
0.287656164;0.33254907;0.546505357;0.521650958;0
0.278782079;0.299906498;0.498608286;0.500178727;1
0.30068315;0.280261575;0.525954703;0.498741049;1
0.257466914;0.278563356;0.489638643;0.505789709;0
0.271211058;0.287861578;0.502319173;0.488729376;1
0.286444743;0.264116602;0.562134173;0.496117191;1
0.27375781;0.254382514;0.490903602;0.510974286;0
0.275125966;0.267351305;0.4538268;0.518397999;0
0.283836208;0.296971939;0.461290226;0.523459063;0
0.262251098;0.263482576;0.535134187;0.502931873;1
0.291575894;0.310947064;0.483582683;0.521510448;0
0.304133122;0.284175326;0.497353487;0.506997882;0
0.290118802;0.310074573;0.522815637;0.501105447;1
0.266355047;0.286422407;0.488844182;0.499505078;1
0.309856655;0.292650337;0.497416806;0.542207309;1
0.286747941;0.274022528;0.494642405;0.500293406;0
0.296125295;0.328456956;0.512618473;0.517887408;0
0.314887866;0.286731869;0.50234249;0.500845234;0
0.310952201;0.311172926;0.501773726;0.476665729;1
0.258129958;0.27082324;0.507307971;0.514576364;0
0.344789809;0.326141959;0.50136746;0.51983034;0
0.26654087;0.257875795;0.501554038;0.519898868;1
0.264493159;0.279819449;0.518397999;0.484867662;1
0.320756175;0.293169897;0.537858574;0.501021648;0
0.287240571;0.327730147;0.503430664;0.51567499;1
0.276891698;0.28561748;0.509833548;0.508475828;0
0.298153728;0.269112306;0.491383625;0.518211435;0
0.30719931;0.288827977;0.537236618;0.505747062;1
0.275901989;0.294645496;0.506820728;0.509325996;1
0.310992809;0.287724815;0.510900673;0.512442615;0
0.26367311;0.286349924;0.497551663;0.506029503;1
0.294808205;0.307621267;0.498183124;0.493487018;0
0.291792387;0.309190405;0.512229754;0.50698462;0
0.269092319;0.265325374;0.514810135;0.487232965;1
0.280580766;0.306379713;0.527555527;0.503794932;1
0.260309393;0.246863094;0.477605889;0.515059854;0
0.273204965;0.31137576;0.493784125;0.497310069;1
0.294947315;0.314509464;0.489138316;0.481636879;0
0.281426797;0.30030495;0.500034976;0.523637816;0
0.254570684;0.251303495;0.479027449;0.517794132;0
0.25720374;0.28034413;0.498797246;0.520358633;1
0.273311865;0.291840166;0.497018117;0.512169002;0
0.271859108;0.280157247;0.550368608;0.500034976;1
0.295974392;0.269761483;0.509700996;0.51207395;0
0.333673549;0.311103159;0.502569632;0.524178641;0
0.319798496;0.34251647;0.519707465;0.503233008;0
0.331649807;0.322990454;0.507004274;0.516173879;0
0.266911788;0.251622223;0.514024744;0.509395901;0
0.284262363;0.305430651;0.515816005;0.502729406;0
0.2964639;0.304660739;0.513859986;0.511369842;0
0.25012903;0.249497525;0.49702784;0.509895758;1
0.268553189;0.303366778;0.510418883;0.441872042;1
0.271358767;0.277681832;0.501659703;0.512646079;0
0.315176239;0.302437199;0.499712512;0.512870556;1
0.297196599;0.281169428;0.525721218;0.493730161;1
0.25431191;0.247023259;0.525874331;0.470717445;0
0.256436734;0.254824145;0.524175185;0.494378696;0
0.286378788;0.304995018;0.513115498;0.472440236;1
0.245270601;0.248044111;0.504950939;0.503040995;0
0.271795334;0.273768843;0.498273405;0.497696548;0
0.299101493;0.288686835;0.522799043;0.488343843;1
0.291784275;0.269942243;0.48731661;0.533884325;1
0.290761092;0.280040271;0.522222299;0.484488383;1
0.334161282;0.308763808;0.4887669;0.530275812;1
0.263532236;0.248827978;0.511995807;0.50391423;0
0.353050835;0.320418512;0.515144062;0.480054571;0
0.301163053;0.276724057;0.529759722;0.48404845;1
0.305684009;0.293993906;0.499371264;0.492547901;0
0.26143889;0.243119125;0.521527117;0.493729747;1
0.326644597;0.297157326;0.500756525;0.525797795;1
0.232344788;0.241401129;0.499515551;0.48731661;1
0.260883806;0.294572195;0.504155387;0.480653566;1
0.327826241;0.366734858;0.508618293;0.48980065;1
0.293969396;0.275775559;0.496152443;0.483519384;1
0.271703576;0.27039027;0.495914876;0.496391481;1
0.261579433;0.29974396;0.512452065;0.508396138;1
0.267706684;0.283190306;0.500808137;0.484719245;1
0.313158587;0.356674253;0.491344559;0.503741853;0
0.295436521;0.269547795;0.449624033;0.506616085;0
0.281415572;0.270195107;0.502583073;0.515620821;0
0.321667907;0.346937892;0.479438714;0.513474516;1
0.282706441;0.269716123;0.511716706;0.49458801;1
0.2902585;0.270613984;0.510537464;0.509619225;0
0.320839918;0.292961053;0.494891973;0.525030409;0
0.276024301;0.296738206;0.470269752;0.517794132;0
0.385075421;0.348095522;0.49364427;0.526412592;1
0.265030834;0.27137058;0.519024703;0.491891742;1
0.291927555;0.28219923;0.476669394;0.500666339;0
0.285712819;0.289932463;0.53539403;0.479563443;1
0.285749382;0.276042877;0.531851682;0.508360286;1
0.289018217;0.278565297;0.505299158;0.501122454;1
0.231656201;0.230849743;0.500337823;0.485654846;0
0.24627991;0.261875467;0.513760761;0.507700264;1
0.374009346;0.324570964;0.509479543;0.504778562;0
0.255233426;0.255765865;0.497764552;0.505563953;1
0.282700541;0.306346307;0.499193256;0.483627249;1
0.288637278;0.308161428;0.511502866;0.50882416;1
0.251254441;0.260926515;0.487014672;0.477689421;1
0.271841607;0.273395645;0.498728557;0.49724244;0
0.308245926;0.333944595;0.445469909;0.504870319;0
0.283957629;0.319655754;0.520317077;0.516839086;1
0.22876007;0.235332014;0.51704526;0.522247754;0
0.288490326;0.273134033;0.494741995;0.491793365;0
0.305282629;0.332849852;0.502466862;0.503241346;0
0.369227705;0.325822311;0.497740786;0.511464771;0
0.305544655;0.338074788;0.489285768;0.511502866;0
0.307570163;0.342105533;0.477773786;0.47831563;0
0.214119865;0.223981085;0.513269495;0.493698275;0
0.300472332;0.319867445;0.503130649;0.491793365;0
0.339934452;0.329561177;0.55324415;0.484381627;1
0.304078124;0.283186973;0.517813871;0.488026221;0
0.271256061;0.300211729;0.501126112;0.482007958;1
0.31118603;0.29527979;0.504151872;0.458268469;0
0.297613695;0.315218842;0.517699201;0.51561845;0
0.370404203;0.334503822;0.527279165;0.480586951;1
0.276389743;0.262063547;0.487586537;0.480456562;0
0.312422236;0.332051555;0.497426547;0.512301325;1
0.345334601;0.365422583;0.519608637;0.521042547;1
0.274046595;0.273403778;0.490740193;0.505003625;0
0.331577577;0.295105725;0.492884919;0.479674146;1
0.298456767;0.277865378;0.503088956;0.481203698;0
0.262831985;0.284440975;0.491128708;0.51833622;1
0.336824709;0.298633099;0.508314683;0.522839886;1
0.272643056;0.287577233;0.495786205;0.479381965;0
0.262198335;0.291893486;0.503669457;0.544175465;0
0.324197398;0.338757175;0.498090189;0.497959119;0
0.30685467;0.342415655;0.503584118;0.49630192;1
0.29915747;0.285865256;0.476613139;0.497898702;1
0.268901685;0.26577343;0.518645423;0.492992946;0
0.271717813;0.287350457;0.501086334;0.490771603;1
0.350744968;0.318101295;0.519995482;0.491670646;0
0.281916454;0.309778601;0.507821745;0.503961804;0
0.289756721;0.306477663;0.49887814;0.510514498;0
0.258033934;0.286146386;0.473576374;0.516000888;0
0.321794386;0.289802103;0.51651425;0.520475333;1
0.306646387;0.320225753;0.514509102;0.513659866;1
0.285400132;0.287072325;0.496147132;0.494504944;0
0.281815483;0.286237056;0.512004936;0.496001505;1
0.279803616;0.278571541;0.49361553;0.489653527;0
0.2733844;0.27346077;0.492980447;0.511679781;0
0.264670683;0.251333912;0.508614161;0.502057855;0
0.321781234;0.304915929;0.512621093;0.500881471;1
0.310312919;0.343530905;0.554245598;0.532942854;0
0.277070698;0.258878398;0.504088168;0.479570732;1
0.27168539;0.291938508;0.501602074;0.484279859;0
0.33802283;0.32673312;0.491056087;0.491760355;1
0.236327061;0.250005168;0.478476408;0.503057696;0
0.243937968;0.23151594;0.489377489;0.511201798;1
0.282871666;0.261202583;0.509869808;0.507124702;1
0.287593733;0.282573632;0.48351292;0.502800185;0
0.285280281;0.263253029;0.473632618;0.46934487;1
0.295185517;0.282153049;0.48966137;0.49701168;0
0.311568552;0.298025009;0.50475141;0.475645024;1
0.282239353;0.316067553;0.498868176;0.49199369;1
0.294916308;0.271131494;0.492155737;0.512422018;0
0.308579779;0.333869092;0.503707333;0.500531978;1
0.322850301;0.296412332;0.508455176;0.494195011;1
0.314769093;0.2999443;0.512122047;0.495566493;1
0.313305062;0.285484639;0.495496445;0.482547799;1
0.344991518;0.310973083;0.503105513;0.489510563;1
0.318957889;0.299906367;0.486416228;0.500914034;0
0.291065597;0.31096395;0.466876722;0.503102258;1
